Cluster,Editorial,Category,Volume,Issue,Article_Number,Authors,Title
13,editorial,e,4,3,0,Gerry Stahl & Friedrich Hesse,Classical dialogs in CSCL
13,,c,4,3,1,Peter Reimann,Time is precious: Variable- and event-centred approaches to process analysis in CSCL research
16,,c,4,3,2,"construction, and knowledge-creation discourses Jan van Aalst","Distinguishing knowledge-sharing, knowledge- construction, and knowledge-creation discourses Jan van Aalst"
3,,c,4,3,3,Jacques Lonchamp,A three-level analysis of collaborative learning in dual-interaction spaces
5,,b,4,3,4,Asta Cekaite,Collaborative corrections with spelling control: Digital resources and peer assistance
12,,f,4,3,5,Nina Bonderup Dohn,Web 2.0: Inherent tensions and evident challenges for education
4,editorial,e,4,4,0,Gerry Stahl & Friedrich Hesse,Paradigms of shared knowledge
12,,a,4,4,1,Johann Ari Larusson & Richard Alterman,Wikis to support the “collaborative” part of collaborative learning
6,,b,4,4,2,David Birchfield & Colleen Megowan-Romanowicz,Earth science learning in SMALLab: A design experiment for mixed reality
3,,c,4,4,3,Gustav Lymer & Jonas Ivarsson & Oskar Lindwall,Contrasting the use of tools for presentation and critique: Some cases from architectural education
4,,a,4,4,4,Seiji Isotani & Akiko Inaba & Mitsuru Ikeda & Riichiro Mizoguchi,An ontology engineering approach to the realization of theory-driven group formation
13,editorial,e,5,1,0,Gerry Stahl & Friedrich Hesse,The CSCL field matures
4,,c,5,1,1,Daniel D. Suthers & Nathan Dwyer & Richard Medina & Ravi Vatrapu,"A framework for conceptualizing, representing, and analyzing distributed interaction"
9,,b,5,1,2,Oliver Scheuer & Frank Loll & Niels Pinkwart & Bruce M. McLaren,Computer-supported argumentation: A review of the state of the art
2,,c,5,1,3,Eva Mary Bures & Philip C. Abrami & Richard F. Schmid,Exploring whether students’ use of labelling depends upon the type of activity
14,,c,5,1,4,Marc Clarà & Teresa Mauri,Toward a dialectic relation between the results in CSCL: Three critical methodological aspects of content analysis schemes
13,editorial,e,5,2,0,Gerry Stahl & Friedrich Hesse,A prism of CSCL research
7,,b,5,2,1,Andri Ioannidou & Alexander Repenning & David Webb & Diane Keyser & Lisa Luhn & Christof Daetwyler,Mr. Vetro: A Collective Simulation for teaching health science
5,,b,5,2,2,Goran Karlsson,Animation and grammar in science education: Learners’ construal of animated educational software Göran Karlsson
10,,b,5,2,3,Joerg M. Haake & Hans-Rüdiger Pfister,Scripting a distance-learning university course: Do students benefit from net-based scripted collaboration?
4,,c,5,2,4,Julia Gressick & Sharon J. Derry,Distributed leadership in online groups
4,,c,5,2,5,Manoli Pifarre & Ruth Cobos,Promoting metacognitive skills through peer scaffolding in a CSCL environment
4,editorial,e,5,3,0,Gerry Stahl,Guiding group cognition in CSCL
9,,c,5,3,1,Christa S. C. Asterhan & Baruch B. Schwarz,Online moderation of synchronous e-argumentation
8,,b,5,3,2,Jingyan Lu & Susanne P. Lajoie & Jeffrey Wiseman,Scaffolding problem-based learning with CSCL tools
4,,b,5,3,3,Tanja Engelmann & Friedrich W. Hesse,How digital concept maps about the collaborators’ knowledge and information influence computer-supported collaborative problem solving
10,,a,5,3,4,Christof Wecker & Karsten Stegmann & Florian Bernstein & Michael J. Huber & Georg Kalus & Ingo Kollar & Sabine Rathmayer & Frank Fischer,S-COL: A Copernican turn for the development of flexibly reusable collaboration scripts
7,,c,5,3,5,Anne Gerdes,Revealing preconditions for trustful collaboration in CSCL
13,editorial,e,5,4,0,Gerry Stahl & Friedrich Hesse,Beyond folk theories of CSCL
5,,b,5,4,1,Ruth Kershner & Neil Mercer & Paul Warwick & Judith Kleine Staarman,Can the interactive whiteboard support young children’s collaborative communication and thinking in classroom science activities?
7,,c,5,4,2,Meng Yew Tee & Dennis Karney,Sharing and cultivating tacit knowledge in an online learning environment
0,,c,5,4,3,Sinem Siyahhan & Sasha A. Barab & Michael P. Downton,Using activity theory to understand intergenerational play: The case of Family Quest
5,,c,5,4,4,Maria Beatrice Ligorio & Giuseppe Ritella,The collaborative construction of chronotopes during computer-supported collaborative professional tasks
13,editorial,e,6,1,0,Gerry Stahl & Friedrich Hesse,CSCL in Asia
13,,f,6,1,1,Chee-Kit Looi & Hyo-Jeong So & Yancy Toh & Wenli Chen,"The Singapore experience: Synergy of national policy, classroom practice and design research"
4,,c,6,1,2,Manu Kapur,Temporality matters: Advancing a method for analyzing problem-solving processes in a computer-supported collaborative environment
8,,c,6,1,3,Suneeta A. Pathak & Beaumie Kim & Michael J. Jacobson & Baohui Zhang,Learning the physics of electricity: A qualitative analysis of collaborative processes involved in productive failure
2,,c,6,1,4,Zi-gang Ge,Exploring e-learners' perceptions of net-based peer-reviewed English writing
12,,b,6,1,5,Michael Glassman & Min Ju Kang,The logic of wikis: The possibilities of the Web 2.0 classroom
9,,c,6,1,6,Baruch B. Schwarz & Yaron Schur & Haim Pensso & Naama Tayer,Perspective taking and synchronous argumentation for learning the day/night cycle
13,editorial,e,6,2,0,Gerry Stahl & Friedrich Hesse,Let a hundred flowers bloom; let a hundred schools of thought contend
13,,b,6,2,1,Carol Chan,Bridging research and practice: Implementing and sustaining knowledge building in Hong Kong classrooms Carol K. K. Chan
12,,c,6,2,2,Manoli Pifarré & Judith Kleine Staarman,Wiki-supported collaborative learning in primary education: How a dialogic space is created for thinking together
4,,c,6,2,3,Robert L. Jorczak,An information processing perspective on divergence and convergence in collaborative learning Robert L. Jorczak
8,,b,6,2,4,Bas Kolloffel & Tessa H. S. Eysink & Ton de Jong,Comparing the effects of representational tools in collaborative and individual inquiry learning
1,,c,6,2,5,Michael A. Evans & Eliot Feenstra & Emily Ryon & David McNeill,"A multimodal approach to coding discourse: Collaboration, distributed cognition, and geometric reasoning"
8,,b,6,2,6,Erin Walker & Nikol Rummel & Kenneth R. Koedinger,Designing automated adaptive support to improve student helping behaviors in a peer tutoring activity
1,,c,6,2,7,Ulrike Cress & Katrin Wodzicki & Martina Bientzle & Andreas Lingnau,CSCL for intellectually disabled pupils: Stimulating interaction by using a floor control mechanism
13,editorial,e,6,3,0,Gerry Stahl & Friedrich W. Hesse & Nancy Law,Tweets from #cscl2011
4,,b,6,3,1,Cliff Lampe & Donghee Yvette Wohn & Jessica Vitak & Nicole B. Ellison & Rick Wash,Student use of Facebook for organizing collaborative classroom activities
16,,c,6,3,2,Fengfeng Ke & Alicia F. Chávez & Pei-Ni L. Causarano & Antonio Causarano,Identity presence and knowledge building: Joint emergence in online learning environments?
4,,b,6,3,3,Hao-Chuan Wang & Carolyn P. Rosé & Chun-Yen Chang,Agent-based dynamic support for learning from collaborative brainstorming in scientific inquiry
2,,b,6,3,4,Shiou-Wen Yeh & Jia-Jiunn Lo & Jeng-Jia Huang,Scaffolding collaborative technical writing with procedural facilitation and synchronous discussion
8,,a,6,3,5,Dejana Mullins & Nikol Rummel & Hans Spada,Are two heads always better than one? Differential effects of collaboration on students’ computer-supported learning in mathematics
15,,c,6,3,6,Alyssa Friend Wise & Ming Ming Chiu,Analyzing temporal patterns of knowledge construction in a role-based online discussion
4,,c,6,3,7,Francesca Pozzi,The impact of scripted roles on online collaborative learning processes
1,editorial,e,6,4,0,Gerry Stahl,Collaborating around the tabletop
6,,b,6,4,1,Pierre Dillenbourg & Michael Evans,Interactive tabletops in education
6,,b,6,4,2,Steven E. Higgins & Emma Mercier & Elizabeth Burd & Andrew Hatch,Multi-touch tables and the relationship with collaborative classroom pedagogies: A synthetic review
6,,c,6,4,3,Taciana Pontual Falcão & Sara Price,Interfering and resolving: How tabletop interaction facilitates co-construction of argumentative knowledge
1,,c,6,4,4,Eyal Szewkis & Miguel Nussbaum & Tal Rosen & Jose Abalos & Fernanda Denardin & Daniela Caballero & Arturo Tagle & Cristian Alcoholado,Collaboration within large groups in the classroom
2,,c,6,4,5,Giulia Gelmini-Hornsby & Shaaron Ainsworth & Claire O’Malley,Guided reciprocal questioning to support children’s collaborative storytelling
