id,authors,editorial,title
2025_v20i1_10.1007_s11412-024-09431-6_Capturing_temporal_pathways_of_collaborative_roles_A_multilayered_analytical_approach_usin,Ramy Elmoazen & Mohammed Saqr & Laura Hirsto & Matti Tedre,,Capturing temporal pathways of collaborative roles: A multilayered analytical approach using community of inquiry
2019_v14i4_10.1007_s11412-019-09313-2_Capturing_the_dynamic_and_cyclical_nature_of_regulation_Methodological_Progress_in_underst,Hanna Jarvenoja,,Capturing the dynamic and cyclical nature of regulation: Methodological Progress in understanding socially shared regulation in learning
2020_v15i2_10.1007_s11412-020-09322-6_Capturing_the_participation_and_social_dimensions_of_computer-supported_collaborative_lear,Mohammed Saqr & Olga Viberg & Henriikka Vartiainen,,Capturing the participation and social dimensions of
manifest:10.1007/s11412-020-09322-6,,,Capturing the participation and social dimensions of computer-supported collaborative learning through social network analysis: which method and measures matter?
2018_v13i3_10.1007_s11412-018-9279-9_Challenges_in_online_collaboration_effects_of_scripting_shared_task_perceptions,Allyson F. Hadwin & Aishah Bakhtiar & Mariel Miller,,Challenges in online collaboration: effects of scripting shared task perceptions
ijCSCL_4_3_0,Gerry Stahl,editorial,Classical dialogs in CSCL
manifest:10.1007/s11412-026-09465-y,,,Co-constructing critical data literacy in families: A technology-mediated learning perspective
manifest:10.1007/s11412-023-09409-w,,,Co-constructing knowledge with generative AI tools: Reflections from a CSCL perspective
ijCSCL_8_2_3,Florencia Gomez & Miguel Nussbaum & Juan F. Weitz & Ximena Lopez & Javiera Mena & Alex Torres,,Co-located single display collaborative learning for early childhood education
ijCSCL_1_2_3,Joyce Yukawa,,Co-reﬂection in online learning: Collaborative critical thinking as narrative
ijCSCL_1_3_3,Tobin White,,Code talk: Student discourse and participation with networked handhelds
ijCSCL_7_2_0,Gerry Stahl,editorial,Cognizing mediating: Unpacking the entanglement of artifacts with collective minds
2019_v14i4_10.1007_s11412-019-09309-y_Cohesion_in_online_environments,Maria Altebarmakian & Richard Alterman,,Cohesion in online environments
ijCSCL_6_4_0,Gerry Stahl,editorial,Collaborating around the tabletop
ijCSCL_7_1_5,Sarah Pollack & Yifat Ben-David Kolikant,,Collaboration amidst disagreement and moral judgment: The dynamics of Jewish and Arab students’ collaborative inquiry of their joint past
2025_v20i4_10.1007_s11412-025-09454-7_Collaboration_in_virtual_and_remote_laboratories_for_education_A_systematic_literature_rev,Azzeddine Benabbou & Catherine Pons,,Collaboration in virtual and remote laboratories for education: A systematic literature review
2016_v11i4_10.1007_s11412-016-9247-1_Collaboration_scripts_and_scaffolding,Sten Ludvigsen & Ulrike Cress & Nancy Law & Carolyn P. Rose & Gerry Stahl,editorial,Collaboration scripts and scaffolding
ijCSCL_6_4_4,Eyal Szewkis & Miguel Nussbaum & Tal Rosen & Jose Abalos & Fernanda Denardin & Daniela Caballero & Arturo Tagle & Cristian Alcoholado,,Collaboration within large groups in the classroom
2022_v17i2_10.1007_s11412-022-09372-y_Collaborative_analytics-supported_reflective_Assessment_for_Scaffolding_Pre-service_Teache,Yuqin Yang & Gaoxia Zhu & Daner Sun & Carol K. K. Chan,,Collaborative analytics-supported reflective Assessment for Scaffolding Pre-service Teachers’ collaborative Inquiry and Knowledge Building
ijCSCL_4_3_4,Asta Cekaite,,Collaborative corrections with spelling control: Digital resources and peer assistance
ijCSCL_8_4_3,Hannie Gijlers & Armin Weinberger & Alieke Mattia van Dijk & Lars Bollen & Wouter van Joolingen,,Collaborative drawing on a shared digital canvas in elementary science education: The effects of script and task awareness support
ijCSCL_10_3_3,Suparna Sinha & Toni Kempler Rogat & Karlyn R. Adams-Wiggins & Cindy E. Hmelo-Silver,,Collaborative group engagement in a computer-supported inquiry learning environment
ijCSCL_1_2_2,Yael Kali,,Collaborative knowledge building using the Design Principles Database
ijCSCL_8_3_0,Gerry Stahl & Nancy Law & Friedrich Hesse,editorial,Collaborative Learning at CSCL 2013
manifest:10.1007/s11412-024-09425-4,,,Collaborative Problem-Solving in Knowledge-Rich Domains: A Multi-Study Structural Equation Model
2024_v19i3_10.1007_s11412-024-09425-4_Collaborative_Problem-Solving_in_Knowledge-Rich_Domains_A_Multi-Study_Structural_Equation_,Laura Brandl & Matthias Stadler & Constanze Richters & Anika Radkowitsch & Martin R. Fischer & Ralf Schmidmaier & Frank Fischer,,Collaborative Problem‑Solving in Knowledge‑Rich Domains: A Multi‑Study Structural Equation Model
manifest:10.1007/s11412-025-09448-5,,,Collaborative science? Formalism and a unified language: Future directions for computer-supported collaborative learning
2025_v20i3_10.1007_s11412-025-09448-5_Collaborative_science_Formalism_and_a_unified_language_Future_directions_for_computer-supported_collaborative_learning,Sten Ludvigsen & Hans C. Arnseth & Kenneth Silseth & Rolf Steier,,Collaborative science? Formalism and a unified language: Future directions for computer‑supported collaborative learning
2024_v19i3_10.1007_s11412-024-09426-3_Combining_Danmaku_and_Discussion_Boards_Toward_A_Scalable_and_Sociable_Environment_for_Mas,Bo Yang,,Combining Danmaku and Discussion Boards: Toward A Scalable and Sociable Environment for Mass Collaboration in MOOCs
2023_v18i2_10.1007_s11412-023-09402-3_Common_place_observations_about_embodiment_and_CSCL,Victor R. Lee,,Common “place” observations about embodiment and CSCL
2018_v13i2_10.1007_s11412-018-9275-0_Community_technology_mapping_inscribing_places_when_everything_is_on_the_move,Katie Headrick Taylor & Reed Stevens & Deborah Silvis,,Community technology mapping: inscribing places when everything is on the move
manifest:10.1007/s11412-018-9275-0,,,Community technology mapping: inscribing places when “everything is on the move”
ijCSCL_2_1_1,Gerhard Fischer & Markus Rohde,,"Community-based learning: The core competency of residential, research-based universities"
