year,volume,issue,article_number,editorial,authors,title
2007,2,4,2,,Giasemi N. Vavoula & Mike Sharples,Future technology workshop: A collaborative method for the design of new learning technologies and activities
2007,2,4,3,,Karsten Stegmann & Armin Weinberger & Frank Fischer,Facilitating argumentative knowledge construction with computer-supported collaboration scripts
2007,2,4,4,,Baruch B. Schwarz & Amnon Glassner,The role of floor control and of ontology in argumentative activities with discussion-based tools
2007,2,4,5,,E. Michael Nussbaum & Denise L. Winsor & Yvette M. Aqui & Anne M. Poliquin,Putting the pieces together: Online argumentation vee diagrams enhance thinking during discussions
2008,3,1,0,editorial,Gerry Stahl & Friedrich Hesse,The many levels of CSCL
2008,3,1,1,,Pierre Dillenbourg & Fabrice Hong,The mechanics of CSCL macro scripts
2008,3,1,2,,Ingeborg Krange & Sten Ludvigsen,What does it mean? Students’ procedural and conceptual problem solving in a CSCL environment designed within the field of science education
2008,3,1,3,,Bernhard Nett,A Community of Practice among tutors enabling student participation in a seminar preparation
2008,3,1,4,,Ulrike Cress,The need for considering multilevel analysis in CSCL research—An appeal for the use of more advanced statistical methods
2008,3,1,5,,Joachim Kimmerle & Ulrike Cress,Group awareness and self-presentation in computer-supported information exchange
2008,3,2,0,editorial,Gerry Stahl,The strength of the lone wolf
2008,3,2,1,,Ulrike Cress & Joachim Kimmerle,A systemic and cognitive view on collaborative knowledge building with wikis
2008,3,2,2,,Jürgen Buder & Daniel Bodemer,Supporting controversial CSCL discussions with augmented group awareness tools
2008,3,2,3,,Joanna Wolfe,Annotations and the collaborative digital library: Effects of an aligned annotation interface on student argumentation and reading strategies
2008,3,2,4,,Maarten Overdijk & Wouter van Diggelen,Appropriation of a shared workspace: Organizing principles and their application
2008,3,2,5,,Pierre Tchounikine,Operationalizing macro-scripts in CSCL technological settings
2008,3,3,0,editorial,Gerry Stahl & Friedrich Hesse,Explorations of participation in discourse
2008,3,3,1,,Carolyn Rosé & Yi-Chia Wang & Yue Cui & Jaime Arguello & Karsten Stegmann & Armin Weinberger & Frank Fischer,Analyzing collaborative learning processes automatically: Exploiting the advances of computational linguistics in
2008,3,3,2,,Thomas Herrmann & Andrea Kienle,Context-oriented communication and the design of computer-supported discursive learning
2008,3,3,3,,Nancy Ares,Cultural practices in networked classroom learning environments
2008,3,3,4,,Judith Schoonenboom,The effect of a script and a structured interface in grounding discussions
2008,3,3,5,,Diler Oner,Supporting students’ participation in authentic proof activities in computer supported collaborative learning (CSCL) environments Diler Öner
2008,3,3,6,editorial,Gerry Stahl,Book review: Exploring thinking as communicating in CSCL
2008,3,4,0,editorial,Gerry Stahl & Friedrich Hesse,CSCL practices
2008,3,4,1,,David Hung & Kenneth Y. T. Lim & Der-Thanq Victor Chen & Thiam Seng Koh,Leveraging online communities in fostering adaptive schools
2008,3,4,2,,Andreas Lund & Ingvill Rasmussen,The right tool for the wrong task? Match and mismatch between first and second stimulus in double stimulation
2008,3,4,3,,Brian C. Nelson & Diane Jass Ketelhut,Exploring embedded guidance and self-efficacy in educational multi-user virtual environments
2008,3,4,4,,Fengfeng Ke,Alternative goal structures for computer game-based learning
